scan_set,set_id,cohort,level,encoded_bytes,encoded_sha256,raw61_bytes,size_vs_raw61_pct,scope,scope_kind,scale,transform,valid_fraction,alignment_applied,candidate_channel_bias_max,candidate_clip_fraction,candidate_delta_e00_max,candidate_delta_e00_p95,candidate_detail_correlation,candidate_detail_energy_ratio,candidate_highpass_reference_rms,candidate_highpass_rmse,candidate_linear_mae,candidate_linear_rmse,candidate_patch_count,candidate_patch_size,candidate_reference_clip_fraction,candidate_structure_loss,raw61_channel_bias_max,raw61_clip_fraction,raw61_delta_e00_max,raw61_delta_e00_p95,raw61_detail_correlation,raw61_detail_energy_ratio,raw61_highpass_reference_rms,raw61_highpass_rmse,raw61_linear_mae,raw61_linear_rmse,raw61_patch_count,raw61_patch_size,raw61_reference_clip_fraction,raw61_structure_loss,run_id
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d020,98455884,f1edc6deeeb34c992e6dfa3b3d90dbcb865ab3cb492d2f5b1dcb550e980bec6e,69890048,140.87253738901424,manual-02,native_crop,1.0,negative_density_hard_shadow_recovery,0.9766981336805556,True,0.011984152224888918,0.01866291718742767,2.2616827626949174,1.7600080092229204,0.9155180835661589,0.9419153525432009,0.07409222160915563,0.029869684765430223,0.053723404150875634,0.08963280189364413,144,64,0.021668286812016848,0.40314197788529,0.1799084525095406,0.018862542239503774,22.846905390124462,17.614578245804644,0.3633640175661415,1.0762669224061856,0.07409222160915563,0.08691864386964046,0.17077806993878253,0.2193472685755632,144,64,0.021668286812016848,1.1731142889485158,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,full_frame_box10,reduced_full_frame,0.1,identity,0.9947783483492717,True,4.245541501743317e-05,0.0,0.013261282407615533,0.0116676481305204,0.9999271066597258,1.0001014973385782,0.005903412891380189,7.128518400933147e-05,0.00011022176587045759,0.00016323587482991515,600,64,0.0,0.01207524957527837,0.010551614817733777,0.0,3.258741208713687,1.5411506786525155,0.33638594904862185,0.8559095920833524,0.005903412891380189,0.0063492505299812966,0.007624865919813146,0.012501350704840087,600,64,0.0,1.0755220152823959,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,full_frame_box10,reduced_full_frame,0.1,shadow_recovery_luma_p12,0.9947783483492717,True,1.9982347978826475e-05,0.879916615114376,0.005449713721482595,0.004074576255429058,0.9997523569439857,1.0002243907841375,0.01252282288486654,0.00027874115543836654,8.049545225874851e-05,0.00028991665634597695,600,64,0.87999986811406,0.02225865190309582,0.006362844264284449,0.8596667654437405,1.5879989453075964,1.3316090313175617,0.5556999246704821,0.9731521037955037,0.01252282288486654,0.011650021347229384,0.006933176203706804,0.02210293087176359,600,64,0.87999986811406,0.9303031316771307,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,full_frame_box10,reduced_full_frame,0.1,highlight_separation_luma_p88_p998,0.9947783483492717,True,0.00035229291367983614,0.8826384112030512,0.21045440163787468,0.19514883545746203,0.9996649892998128,0.9960992727864207,0.09946132959335527,0.0025986325747825783,0.0007695694346536582,0.0027689932368233023,600,64,0.8820000008242871,0.026127064512479488,0.03963558840310068,0.9997527138623251,56.22297940395486,41.27201415168805,0.011433091943823038,0.09637533303337113,0.09946132959335527,0.09981302166721748,0.0396356670341596,0.14159235075948884,600,64,0.8820000008242871,1.0035359679515656,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,full_frame_box10,reduced_full_frame,0.1,negative_density_hard_print,0.9947783483492717,True,6.949125952996016e-05,0.38216506432118513,0.04341335734564181,0.02778495213059358,0.9997028257227573,1.0003390083475194,0.016861809886723464,0.0004111879348670639,0.0007010586762035534,0.001688544624964093,600,64,0.3822279849051046,0.024385753227524065,0.02383125865750087,0.18715397972006384,4.08781480217502,3.514510498797168,0.4799010733018412,0.921219324062127,0.016861809886723464,0.016559437079794494,0.023262290156186097,0.03903116473074112,600,64,0.3822279849051046,0.9820675948216537,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,full_frame_box10,reduced_full_frame,0.1,negative_density_hard_shadow_recovery,0.9947783483492717,True,5.6272638197306734e-05,0.38254299996826496,0.09687431317233941,0.05668512849016335,0.9997878443105205,1.0002482713623442,0.015786976809291305,0.00032525707059395816,0.0005283426101740436,0.0011826836457814944,600,64,0.38260701960168525,0.02060287251467492,0.019297410275268767,0.18749729530786918,6.994635591140314,4.455327775596793,0.4697735388519232,0.9271599991193059,0.015786976809291305,0.01569605991976641,0.020397204439758194,0.03335643947039758,600,64,0.38260701960168525,0.9942410196313592,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,manual-01,native_crop,1.0,identity,0.9844292534722222,True,3.4272430502510864e-05,0.0,0.032015341037900845,0.021703923918751422,0.9479853672751354,0.96085963472711,0.0028826178629772848,0.000918327513348581,0.0013489314236764445,0.001980151257216789,144,64,0.0,0.31857414232495423,0.008737926038284645,0.0,1.5781097519910112,1.5429743795835122,0.5439949440895115,0.9733187670168463,0.0028826178629772848,0.0027169929874629414,0.006517902526643237,0.009253199702137735,144,64,0.0,0.9425435894082473,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,manual-01,native_crop,1.0,shadow_recovery_luma_p12,0.9844292534722222,True,2.841274001240139e-05,0.8805903830256269,0.016295936125134754,0.009608441582499978,0.827531684830321,0.89112100297849,0.009118281727915886,0.005151909159854886,0.001424327572552576,0.005182902961323415,144,64,0.8799996555524938,0.5650087717823157,0.005813393976101044,0.8466571369523285,1.5046476371473048,0.9910777325854202,0.1785241924251143,1.0863326992339366,0.009118281727915886,0.012207078653232258,0.0067027141750946985,0.02150342600952004,144,64,0.8799996555524938,1.3387476958361497,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,manual-01,native_crop,1.0,highlight_separation_luma_p88_p998,0.9844292534722222,True,0.0005590342058347172,0.8822144530173601,0.4633240905175691,0.35510625435230414,0.9214581995110355,0.9545307572329551,0.05680676756016654,0.02214798029591806,0.006193873357283445,0.022351647848535175,144,64,0.8820008955635161,0.38988277712616126,0.042080626496936044,0.9825313447230642,42.55958780339119,36.28296344473206,0.14142882278350555,0.29890502674550673,0.05680676756016654,0.056942845687865395,0.042098761894613576,0.14538514232249558,144,64,0.8820008955635161,1.002395456272965,verified-54c442b2d163eb21
konica_vx100_probable_1995,_DSC6879,primary_compressed_independent,d022,86585993,3a91f4cc1a16a3a2bda6c0b73e2e986459eea1304869b3606e68edfafd198009,69890048,123.88887327706514,manual-01,native_crop,1.0,negative_density_hard_print,0.9844292534722222,True,0.0001900215832876163,0.3382543400385781,0.26574500950557495,0.17118773436536186,0.7978533210564096,0.8783312905899466,0.011944174489129501,0.007264442430626458,0.005714564663176409,0.015875533419530238,144,64,0.33838121153669515,0.6081996237779256,0.011357168370091814,0.2775070037659594,2.6642271618517577,2.558567666566415,0.21028445873938328,0.8630059722814135,0.011944174489129501,0.01404050703413191,0.013042396060266841,0.02813836059412276,144,64,0.33838121153669515,1.1755108774499485,verified-54c442b2d163eb21
