original_commit	rewritten_commit
a68bea920270c2b3fa3e6cefc464cd747791b38e	a68bea920270c2b3fa3e6cefc464cd747791b38e
a6b98483d2f9249ac8c1ee3c00904f1d6e701a96	35ce0bb78cabf4c2f6b7e6000a6d0c4dc923ac4c
a9325d1912614335a8e02637d238e40b6e2addb3	304f99f502add960117684c511f31ed215c70495
ad3bd6c46326533e53c11a475f0eee86036a8130	270946cfd94cf0e6ec9c36044fc93f4cc915eb6b
ade1ca84e017b491593a3bda537472bd0870cf1c	5af7a236f9055cd7a15891ec0066b5d39d5e98e6
aedfbcb12363d90ade22e4537513a38f7ed01fd8	21e87a6e26ac37c81305d53a2c4bb2ec4aaeace7
af056cde2ad3294c6744ff223629d0831f755505	2b2bedd9b89597f30e6445b2945af8ae969fd3e4
b175c66e7db4f371d0f35a2069697a94d4d3e92c	46e69164663f8c4e31daa168f9e2b66d6f460385
b206b1b0e88366790c8a2d1fd31e7caf4e11dea9	b9655a5839501e58c300d4eb935b36e8a3696f5a
b2c4c7cd052b36cf2c4b7c8552af3acc2aeb51ee	da083363bb34abe09b251dded13dd5a48c1d3e7a
b473ad27e9cbe77df6d28300d9ac84ae2d0f54ae	9acf29ba0ececf05e856a1ba25d97b2c99bb7f2e
b63137d91f972ed9cf34ad1a1e986c0558bb32de	7f84dda760ceb0efc45e11e3b1a92d6ba4bf494e
b6591c24be614382034ff6fb40f7e7ed1eb84c46	b7479f5c304a5939b3397f3373c95b51891f6906
b6939345612436f4b4fab4c0b4bd583f58923963	e810c2ab48656c7beb2e7ce725096923c31a2ab7
b74bbdecb25bf2a9c113b366d421cdbbfbe22bb9	06bd3718f0fa1a0fa38819fb8be8168cb02d0541
b9284bbb724b6eafedeff8356f136a1678fcad95	ddd089d77fb34d7e4b92ba952a83526a3e82fab4
babad9c529cbc3ce6eae6a4c254b47f97c5f0def	61e4ea1a84769e762056cc8ab2f098d4c177aaa7
bad75381b8bf2aef2336a9f115f059dbc59b3943	ba655fd5972ab815e4680b0650e799b49efd4822
bb33c671f46dc7d03fd6c828f3378ea9dbd24382	48543637857f9f0bcf1e73f8c97ba83fa71be86e
bc0b776b21814c9385270a051bbea3d9dcbaf6c2	efc72a24ef1c8cadbb86b9b4dfca1abaff730d16
beaac96c60aca3f7fd20466e3c84e1525e08c797	1290c0115dc158bea501435d9e63e1c44d84f2be
c086f61097544831e40d223fadeaf490124d5266	82b8d9d1fadc912d286089ff01beceda44b5ad4b
c78b0ce52e4485863da4f30e31ad539c5da44156	082eb473247fc16920c4deb1a243660ca6460b01
c8c562d1b1242e7a604b1ed0f9f04e805d82de13	7ca640568c3e674f6e5c7624f28e41476b984500
